Team,Tag,Topic,f1_macro
Grimjack,grimjack-fair-argumentative-reranking-with-t0,69,0.05
Grimjack,grimjack-fair-argumentative-reranking-with-t0,68,0.294
Grimjack,grimjack-fair-argumentative-reranking-with-t0,67,0.143
Grimjack,grimjack-fair-argumentative-reranking-with-t0,62,0.091
Grimjack,grimjack-fair-argumentative-reranking-with-t0,61,0.337
Grimjack,grimjack-fair-argumentative-reranking-with-t0,60,0.07
Grimjack,grimjack-fair-argumentative-reranking-with-t0,59,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,58,0.107
Grimjack,grimjack-fair-argumentative-reranking-with-t0,56,0.216
Grimjack,grimjack-fair-argumentative-reranking-with-t0,55,0.177
Grimjack,grimjack-fair-argumentative-reranking-with-t0,54,0.214
Grimjack,grimjack-fair-argumentative-reranking-with-t0,53,0.163
Grimjack,grimjack-fair-argumentative-reranking-with-t0,51,0.258
Grimjack,grimjack-fair-argumentative-reranking-with-t0,48,0.126
Grimjack,grimjack-fair-argumentative-reranking-with-t0,43,0.056
Grimjack,grimjack-fair-argumentative-reranking-with-t0,42,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,37,0.321
Grimjack,grimjack-fair-argumentative-reranking-with-t0,36,0.192
Grimjack,grimjack-fair-argumentative-reranking-with-t0,34,0.245
Grimjack,grimjack-fair-argumentative-reranking-with-t0,33,0.167
Grimjack,grimjack-fair-argumentative-reranking-with-t0,30,0.16
Grimjack,grimjack-fair-argumentative-reranking-with-t0,28,0.179
Grimjack,grimjack-fair-argumentative-reranking-with-t0,27,0.263
Grimjack,grimjack-fair-argumentative-reranking-with-t0,26,0.0
Grimjack,grimjack-fair-argumentative-reranking-with-t0,25,0.196
Grimjack,grimjack-fair-argumentative-reranking-with-t0,23,0.223
Grimjack,grimjack-fair-argumentative-reranking-with-t0,22,0.267
Grimjack,grimjack-fair-argumentative-reranking-with-t0,19,0.305
Grimjack,grimjack-fair-argumentative-reranking-with-t0,18,0.065
Grimjack,grimjack-fair-argumentative-reranking-with-t0,17,0.184
Grimjack,grimjack-fair-argumentative-reranking-with-t0,14,0.194
Grimjack,grimjack-fair-argumentative-reranking-with-t0,12,0.068
Grimjack,grimjack-fair-argumentative-reranking-with-t0,9,0.132
Grimjack,grimjack-fair-argumentative-reranking-with-t0,8,0.045
Grimjack,grimjack-fair-argumentative-reranking-with-t0,3,0.162
Grimjack,grimjack-fair-argumentative-reranking-with-t0,2,0.258
Olivier Armstrong,tfid_arg_similarity,100,0.143
Olivier Armstrong,tfid_arg_similarity,95,0.094
Olivier Armstrong,tfid_arg_similarity,93,0.28
Olivier Armstrong,tfid_arg_similarity,92,0.062
Olivier Armstrong,tfid_arg_similarity,91,0.0
Olivier Armstrong,tfid_arg_similarity,88,0.111
Olivier Armstrong,tfid_arg_similarity,86,0.0
Olivier Armstrong,tfid_arg_similarity,84,0.077
Olivier Armstrong,tfid_arg_similarity,78,0.045
Olivier Armstrong,tfid_arg_similarity,77,0.077
Olivier Armstrong,tfid_arg_similarity,76,0.19
Olivier Armstrong,tfid_arg_similarity,74,0.1
Olivier Armstrong,tfid_arg_similarity,72,0.178
Olivier Armstrong,tfid_arg_similarity,70,0.0
Olivier Armstrong,tfid_arg_similarity,69,0.0
